chr,Line,pos_leftflank,pos_start,pos_end,pos_rightflank,marker_left_flank,marker_start,marker_end,marker_right_flank,chrom.size,intro_start,intro_end,intro.size,intro.prop.chr
1,CML228/B73 NIL-1117A,239181198,239383336,255292035,255296445,S1_239181198,S1_239383336,S1_255292035,S1_255296445,307041717,239282267,255294240,16011973,0.0521491775008541
1,CML103/B73 NIL-1003A,292043396,292043634,304252045,304252046,S1_292043396,S1_292043634,S1_304252045,S1_304252046,307041717,292043515,304252045.5,12208530.5,0.0397617972544102
1,CML247/B73 NIL-1206,10105748,10147468,12770625,12850617,S1_10105748,S1_10147468,S1_12770625,S1_12850617,307041717,10126608,12810621,2684013,0.00874152550417115
1,CML277/B73 NIL-1283,246179564,246355766,259066527,259325537,S1_246179564,S1_246355766,S1_259066527,S1_259325537,307041717,246267665,259196032,12928367,0.0421062229794657
1,CML333/B73 NIL-1003,300790174,300790175,300853110,300853136,S1_300790174,S1_300790175,S1_300853110,S1_300853136,307041717,300790174.5,300853123,62948.5,0.000205016115122884
1,CML52/B73 NIL-1233,183885705,184115289,225783660,225833674,S1_183885705,S1_184115289,S1_225783660,S1_225833674,307041717,184000497,225808667,41808170,0.136164461326276
1,CML228/B73 NIL-1138,279842294,279842334,294984526,294984546,S1_279842294,S1_279842334,S1_294984526,S1_294984546,307041717,279842314,294984536,15142222,0.0493164972758409
1,Ki11/B73 NIL-1169,185478771,185478822,200664001,200687650,S1_185478771,S1_185478822,S1_200664001,S1_200687650,307041717,185478796.5,200675825.5,15197029,0.0494949974501348
1,NC350/B73 NIL-1068,6079049,6079054,6154172,6237252,S1_6079049,S1_6079054,S1_6154172,S1_6237252,307041717,6079051.5,6195712,116660.5,0.000379949998781436
1,Oh43/B73 NIL-1306,269340542,269343579,279925507,279947350,S1_269340542,S1_269343579,S1_279925507,S1_279947350,307041717,269342060.5,279936428.5,10594368,0.0345046533204477
1,CML277/B73 NIL-1296,234441309,234476289,238132393,238132419,S1_234441309,S1_234476289,S1_238132393,S1_238132419,307041717,234458799,238132406,3673607,0.0119645207690133
1,Tx303/B73 NIL-1080,35303170,35374105,39218043,39218069,S1_35303170,S1_35374105,S1_39218043,S1_39218069,307041717,35338637.5,39218056,3879418.5,0.0126348254494682
1,CML103/B73 NIL-1012,283558269,283563008,285707783,285707793,S1_283558269,S1_283563008,S1_285707783,S1_285707793,307041717,283560638.5,285707788,2147149.5,0.00699302205895364
1,CML52/B73 NIL-1167,5120521,5120527,12547664,12551242,S1_5120521,S1_5120527,S1_12547664,S1_12551242,307041717,5120524,12549453,7428929,0.0241951780122439
1,Mo18W/B73 NIL-1109,85173868,85232765,97108186,97108218,S1_85173868,S1_85232765,S1_97108186,S1_97108218,307041717,85203316.5,97108202,11904885.5,0.038772859975897
1,Ki3/B73 NIL-1016,12711100,12711102,17807437,17945284,S1_12711100,S1_12711102,S1_17807437,S1_17945284,307041717,12711101,17876360.5,5165259.5,0.0168226635470515
1,Mo18W/B73 NIL-1115,22842727,22843229,33995760,33996547,S1_22842727,S1_22843229,S1_33995760,S1_33996547,307041717,22842978,33996153.5,11153175.5,0.0363246258813749
1,CML103/B73 NIL-1217,288761557,288966894,288969209,288969220,S1_288761557,S1_288966894,S1_288969209,S1_288969220,307041717,288864225.5,288969214.5,104989,0.000341937248872276
1,CML333/B73 NIL-1119B,227715076,227864917,231646098,231646106,S1_227715076,S1_227864917,S1_231646098,S1_231646106,307041717,227789996.5,231646102,3856105.5,0.0125588976562426
1,CML277/B73 NIL-1041B,119835760,119836008,120683636,120880650,S1_119835760,S1_119836008,S1_120683636,S1_120880650,307041717,119835884,120782143,946259,0.00308185809161561
1,CML103/B73 NIL-1220,221997089,222264469,307041717,307041717,S1_221997089,S1_222264469,END,END,307041717,222130779,307041717,84910938,0.27654528130456
1,Mo18W/B73 NIL-1116A,7496424,7567852,11136760,11136765,S1_7496424,S1_7567852,S1_11136760,S1_11136765,307041717,7532138,11136762.5,3604624.5,0.0117398526012021
1,CML228/B73 NIL-1085,239181198,239383336,255296496,255303790,S1_239181198,S1_239383336,S1_255296496,S1_255303790,307041717,239282267,255300143,16017876,0.0521684029014207
1,Tzi8/B73 NIL-1215,262565972,262566628,275706626,275707415,S1_262565972,S1_262566628,S1_275706626,S1_275707415,307041717,262566300,275707020.5,13140720.5,0.0427978342109128
1,M162W/B73 NIL-1058,300790182,300790222,307041717,307041717,S1_300790182,S1_300790222,END,END,307041717,300790202,307041717,6251515,0.0203604743390619
1,Tx303/B73 NIL-1073,299196403,299200084,302543763,302543816,S1_299196403,S1_299200084,S1_302543763,S1_302543816,307041717,299198243.5,302543789.5,3345546,0.0108960633515478
1,Ki11/B73 NIL-1106,263056042,263063887,291612930,291661674,S1_263056042,S1_263063887,S1_291612930,S1_291661674,307041717,263059964.5,291637302,28577337.5,0.0930731425658358
1,Ki11/B73 NIL-1063,11127425,11129399,204753692,204755043,S1_11127425,S1_11129399,S1_204753692,S1_204755043,307041717,11128412,204754367.5,193625955.5,0.630617745991826
1,CML277/B73 NIL-1235B,9366189,9401454,44341529,44357856,S1_9366189,S1_9401454,S1_44341529,S1_44357856,307041717,9383821.5,44349692.5,34965871,0.113879870597519
1,CML277/B73 NIL-1263,0,0,3052155,3052172,S1_53013,S1_53013,S1_3052155,S1_3052172,307041717,0,3052163.5,3052163.5,0.00994054986997093
1,CML277/B73 NIL-1263,283557914,283558269,284180503,284180528,S1_283557914,S1_283558269,S1_284180503,S1_284180528,307041717,283558091.5,284180515.5,622424,0.00202716427618205
1,Tx303/B73 NIL-1209C,287536511,287597860,296490382,296490400,S1_287536511,S1_287597860,S1_296490382,S1_296490400,307041717,287567185.5,296490391,8923205.5,0.0290618668602612
1,CML322/B73 NIL-1051,190422283,190422629,200257517,200257523,S1_190422283,S1_190422629,S1_200257517,S1_200257523,307041717,190422456,200257520,9835064,0.0320316864304143
1,Tx303/B73 NIL-1201,255022257,255022293,296930676,296930683,S1_255022257,S1_255022293,S1_296930676,S1_296930683,307041717,255022275,296930679.5,41908404.5,0.136490913708641
1,CML69/B73 NIL-1079,2810075,2810093,3532523,3533089,S1_2810075,S1_2810093,S1_3532523,S1_3533089,307041717,2810084,3532806,722722,0.00235382347083475
1,NC358/B73 NIL-1111,249202039,249341689,284486972,284486996,S1_249202039,S1_249341689,S1_284486972,S1_284486996,307041717,249271864,284486984,35215120,0.114691646282059
1,CML333/B73 NIL-1119A,206932648,206984688,231050611,231050641,S1_206932648,S1_206984688,S1_231050611,S1_231050641,307041717,206958668,231050626,24091958,0.0784647709614
1,CML277/B73 NIL-1296,0,0,26767155,26768533,S1_53013,S1_53013,S1_26767155,S1_26768533,307041717,0,26767844,26767844,0.0871798277495953
1,CML247/B73 NIL-1005A,181911761,181915057,267653991,267807279,S1_181911761,S1_181915057,S1_267653991,S1_267807279,307041717,181913409,267730635,85817226,0.279496958388882
1,CML322/B73 NIL-1030B,0,0,18154405,18154410,S1_53013,S1_53013,S1_18154405,S1_18154410,307041717,0,18154407.5,18154407.5,0.0591268433403139
1,CML103/B73 NIL-1012,63283778,63574790,193621475,193621492,S1_63283778,S1_63574790,S1_193621475,S1_193621492,307041717,63429284,193621483.5,130192199.5,0.424021207189901
1,Ki3/B73 NIL-1185,35243434,35243442,35301560,35303167,S1_35243434,S1_35243442,S1_35301560,S1_35303167,307041717,35243438,35302363.5,58925.5,0.000191913661035188
1,CML228/B73 NIL-1119,35025951,35026073,82684935,83132805,S1_35025951,S1_35026073,S1_82684935,S1_83132805,307041717,35026012,82908870,47882858,0.155949030209468
1,CML333/B73 NIL-1143,279882948,279883321,279918767,279918770,S1_279882948,S1_279883321,S1_279918767,S1_279918770,307041717,279883134.5,279918768.5,35634,0.000116055890867755
1,CML103/B73 NIL-1158,291561077,291561079,299212099,299212117,S1_291561077,S1_291561079,S1_299212099,S1_299212117,307041717,291561078,299212108,7651030,0.0249185357441184
1,Ki11/B73 NIL-1164,289612306,290213482,294671786,294671797,S1_289612306,S1_290213482,S1_294671786,S1_294671797,307041717,289912894,294671791.5,4758897.5,0.0154991886656236
1,CML228/B73 NIL-1118A,18000315,18000338,45447598,45447641,S1_18000315,S1_18000338,S1_45447598,S1_45447641,307041717,18000326.5,45447619.5,27447293,0.0893927159741619
1,CML333/B73 NIL-1081,258064109,258068963,263691152,263847746,S1_258064109,S1_258068963,S1_263691152,S1_263847746,307041717,258066536,263769449,5702913,0.0185737399325447
1,NC350/B73 NIL-1065,8670822,8674506,29793065,29795739,S1_8670822,S1_8674506,S1_29793065,S1_29795739,307041717,8672664,29794402,21121738,0.0687911017641945
1,NC358/B73 NIL-1111,287536511,287597860,296490382,296490400,S1_287536511,S1_287597860,S1_296490382,S1_296490400,307041717,287567185.5,296490391,8923205.5,0.0290618668602612
1,CML103/B73 NIL-1057,181832173,181832347,181832352,181832354,S1_181832173,S1_181832347,S1_181832352,S1_181832354,307041717,181832260,181832353,93,3.02890437523185e-07
1,Mo18W/B73 NIL-1026,190422283,190422629,204755043,204755049,S1_190422283,S1_190422629,S1_204755043,S1_204755049,307041717,190422456,204755046,14332590,0.0466796178058111
1,CML52/B73 NIL-1083,301383849,301487755,302132465,302132610,S1_301383849,S1_301487755,S1_302132465,S1_302132610,307041717,301435802,302132537.5,696735.5,0.00226918839175199
1,Ki11/B73 NIL-1039A,62426086,62426091,200884981,200885029,S1_62426086,S1_62426091,S1_200884981,S1_200885029,307041717,62426088.5,200885005,138458916.5,0.450944965566357
1,Tx303/B73 NIL-1122,19764796,19794969,19886230,19886281,S1_19764796,S1_19794969,S1_19886230,S1_19886281,307041717,19779882.5,19886255.5,106373,0.000346444779684449
1,Oh43/B73 NIL-1218,231681390,231784735,255021867,255022257,S1_231681390,S1_231784735,S1_255021867,S1_255022257,307041717,231733062.5,255022062,23288999.5,0.0758496263229273
1,Tx303/B73 NIL-1078,8670822,8674506,27286641,27292659,S1_8670822,S1_8674506,S1_27286641,S1_27292659,307041717,8672664,27289650,18616986,0.0606334089774518
1,CML228/B73 NIL-1143,18955173,18955233,22015944,22018759,S1_18955173,S1_18955233,S1_22015944,S1_22018759,307041717,18955203,22017351.5,3062148.5,0.00997306988092436
1,CML103/B73 NIL-1288,202465182,202466628,204668676,204670435,S1_202465182,S1_202466628,S1_204668676,S1_204670435,307041717,202465905,204669555.5,2203650.5,0.00717703939885146
1,CML52/B73 NIL-1236,183885705,184115289,225783624,225783660,S1_183885705,S1_184115289,S1_225783624,S1_225783660,307041717,184000497,225783642,41783145,0.136082957743491
1,Mo18W/B73 NIL-1033,286055042,286080951,293009727,293009730,S1_286055042,S1_286080951,S1_293009727,S1_293009730,307041717,286067996.5,293009728.5,6941732,0.0226084327166526
1,CML228/B73 NIL-1232,177823272,177905498,181857382,181857415,S1_177823272,S1_177905498,S1_181857382,S1_181857415,307041717,177864385,181857398.5,3993013.5,0.0130047914629138
1,CML228/B73 NIL-1138,18955173,18955233,22015944,22018759,S1_18955173,S1_18955233,S1_22015944,S1_22018759,307041717,18955203,22017351.5,3062148.5,0.00997306988092436
1,CML52/B73 NIL-1063,57595606,57678468,75094750,75806424,S1_57595606,S1_57678468,S1_75094750,S1_75806424,307041717,57637037,75450587,17813550,0.0580167091757111
1,CML247/B73 NIL-1005A,30518484,30541044,54025914,54027003,S1_30518484,S1_30541044,S1_54025914,S1_54027003,307041717,30529764,54026458.5,23496694.5,0.0765260653489636
1,CML52/B73 NIL-1103,11043532,11043631,26897309,26897438,S1_11043532,S1_11043631,S1_26897309,S1_26897438,307041717,11043581.5,26897373.5,15853792,0.0516339999492642
1,CML333/B73 NIL-1104,204671296,204671313,206929584,206931717,S1_204671296,S1_204671313,S1_206929584,S1_206931717,307041717,204671304.5,206930650.5,2259346,0.00735843331673396
1,CML247/B73 NIL-1005A,280038979,280094075,307041717,307041717,S1_280038979,S1_280094075,END,END,307041717,280066527,307041717,26975190,0.0878551301222694
1,Tzi8/B73 NIL-1321,278150482,278285129,297186995,297187001,S1_278150482,S1_278285129,S1_297186995,S1_297187001,307041717,278217805.5,297186998,18969192.5,0.0617805055460916
1,CML333/B73 NIL-1193,0,0,10681135,10681158,S1_53013,S1_53013,S1_10681135,S1_10681158,307041717,0,10681146.5,10681146.5,0.0347872810390778
1,CML69/B73 NIL-1178,279842294,279842334,283093053,283093093,S1_279842294,S1_279842334,S1_283093053,S1_283093093,307041717,279842314,283093073,3250759,0.0105873528579831
1,CML277/B73 NIL-1017,19764796,19794969,19886230,19886281,S1_19764796,S1_19794969,S1_19886230,S1_19886281,307041717,19779882.5,19886255.5,106373,0.000346444779684449
1,CML103/B73 NIL-1141,44016815,44017742,48333301,48333329,S1_44016815,S1_44017742,S1_48333301,S1_48333329,307041717,44017278.5,48333315,4316036.5,0.0140568406865703
1,CML322/B73 NIL-1051,5700995,5701001,9354863,9354870,S1_5700995,S1_5701001,S1_9354863,S1_9354870,307041717,5700998,9354866.5,3653868.5,0.0119002347163138
1,CML103/B73 NIL-1326,302331192,302331197,307041717,307041717,S1_302331192,S1_302331197,END,END,307041717,302331194.5,307041717,4710522.5,0.0153416367848151
1,Mo18W/B73 NIL-1154,17312279,17312299,17312357,17314954,S1_17312279,S1_17312299,S1_17312357,S1_17314954,307041717,17312289,17313655.5,1366.5,4.45053529973583e-06
1,CML247/B73 NIL-1005A,0,0,15408121,15408153,S1_53013,S1_53013,S1_15408121,S1_15408153,307041717,0,15408137,15408137,0.0501825522295395
1,Tx303/B73 NIL-1107,46390814,46667206,81311293,81358862,S1_46390814,S1_46667206,S1_81311293,S1_81358862,307041717,46529010,81335077.5,34806067.5,0.113359408747704
1,Ki11/B73 NIL-1062A,10997555,11009033,48951747,48956338,S1_10997555,S1_11009033,S1_48951747,S1_48956338,307041717,11003294,48954042.5,37950748.5,0.123601277607499
1,Tzi8/B73 NIL-1338,192990601,192996546,214504601,214527191,S1_192990601,S1_192996546,S1_214504601,S1_214527191,307041717,192993573.5,214515896,21522322.5,0.0700957599843021
1,CML69/B73 NIL-1117,229510394,229640411,239462281,239714228,S1_229510394,S1_229640411,S1_239462281,S1_239714228,307041717,229575402.5,239588254.5,10012852,0.0326107217541387
1,CML277/B73 NIL-1282,253025634,253144343,259066527,259325537,S1_253025634,S1_253144343,S1_259066527,S1_259325537,307041717,253084988.5,259196032,6111043.5,0.0199029746176152
1,NC358/B73 NIL-1165,17312279,17312299,17312357,17314954,S1_17312279,S1_17312299,S1_17312357,S1_17314954,307041717,17312289,17313655.5,1366.5,4.45053529973583e-06
1,CML103/B73 NIL-1017,47988402,48088596,81796514,82235043,S1_47988402,S1_48088596,S1_81796514,S1_82235043,307041717,48038499,82015778.5,33977279.5,0.110660140361318
1,CML52/B73 NIL-1086,279882948,279883321,279918767,279918770,S1_279882948,S1_279883321,S1_279918767,S1_279918770,307041717,279883134.5,279918768.5,35634,0.000116055890867755
1,Oh43/B73 NIL-1199,302432539,302445389,307041717,307041717,S1_302432539,S1_302445389,END,END,307041717,302438964,307041717,4602753,0.0149906437632382
1,Tx303/B73 NIL-1111,276987975,276988045,277057047,277057085,S1_276987975,S1_276988045,S1_277057047,S1_277057085,307041717,276988010,277057066,69056,0.000224907548963452
1,CML52/B73 NIL-1060,294632577,294632608,295679089,295679100,S1_294632577,S1_294632608,S1_295679089,S1_295679100,307041717,294632592.5,295679094.5,1046502,0.00340833815751493
1,M162W/B73 NIL-1232,39463221,39492856,51404337,51404340,S1_39463221,S1_39492856,S1_51404337,S1_51404340,307041717,39478038.5,51404338.5,11926300,0.0388426045702448
1,Tzi8/B73 NIL-1186,270704255,270861771,286170941,286170950,S1_270704255,S1_270861771,S1_286170941,S1_286170950,307041717,270783013,286170945.5,15387932.5,0.050116748467766
1,CML322/B73 NIL-1198,284180752,284180766,307041717,307041717,S1_284180752,S1_284180766,END,END,307041717,284180759,307041717,22860958,0.074455543772249
1,Tx303/B73 NIL-1201,211228835,211228843,213711807,213711884,S1_211228835,S1_211228843,S1_213711807,S1_213711884,307041717,211228839,213711845.5,2483006.5,0.00808687016298831
1,NC350/B73 NIL-1272,188722601,188722630,188722694,189291321,S1_188722601,S1_188722630,S1_188722694,S1_189291321,307041717,188722615.5,189007007.5,284392,0.00092623244417305
1,Ki3/B73 NIL-1191,298416035,298416404,307041717,307041717,S1_298416035,S1_298416404,END,END,307041717,298416219.5,307041717,8625497.5,0.0280922657164531
1,CML103/B73 NIL-1098,208943935,209095954,213709429,213709477,S1_208943935,S1_209095954,S1_213709429,S1_213709477,307041717,209019944.5,213709453,4689508.5,0.0152731965734806
1,CML333/B73 NIL-1089,193835754,193840769,201733871,201733911,S1_193835754,S1_193840769,S1_201733871,S1_201733911,307041717,193838261.5,201733891,7895629.5,0.0257151685352255
1,CML228/B73 NIL-1229,197052137,197055909,218790887,218791132,S1_197052137,S1_197055909,S1_218790887,S1_218791132,307041717,197054023,218791009.5,21736986.5,0.0707948962518341
1,CML228/B73 NIL-1230,197052137,197055909,229902809,229905787,S1_197052137,S1_197055909,S1_229902809,S1_229905787,307041717,197054023,229904298,32850275,0.106989614704376
1,CML333/B73 NIL-1312,69625411,69632592,193841966,193855631,S1_69625411,S1_69632592,S1_193841966,S1_193855631,307041717,69629001.5,193848798.5,124219797,0.404569770563132
1,CML333/B73 NIL-1119B,208017882,208017885,220828411,221083807,S1_208017882,S1_208017885,S1_220828411,S1_221083807,307041717,208017883.5,220956109,12938225.5,0.0421383309942864
1,Mo18W/B73 NIL-1029,245009663,245009688,245009696,245009719,S1_245009663,S1_245009688,S1_245009696,S1_245009719,307041717,245009675.5,245009707.5,32,1.04220365599376e-07
1,CML103/B73 NIL-1220,186787941,186793946,194349919,194349921,S1_186787941,S1_186793946,S1_194349919,S1_194349921,307041717,186790943.5,194349920,7558976.5,0.0246187279495965
1,CML52/B73 NIL-1192,16954013,17139514,36755096,36755132,S1_16954013,S1_17139514,S1_36755096,S1_36755132,307041717,17046763.5,36755114,19708350.5,0.0641878592022074
1,CML322/B73 NIL-1225,20008030,20010286,22010914,22015944,S1_20008030,S1_20010286,S1_22010914,S1_22015944,307041717,20009158,22013429,2004271,0.00652768301188206
1,CML333/B73 NIL-1122,79336708,79426231,79506779,79506781,S1_79336708,S1_79426231,S1_79506779,S1_79506781,307041717,79381469.5,79506780,125310.5,0.000408122066357517
1,CML247/B73 NIL-1005A,92217705,92219347,93797621,93797656,S1_92217705,S1_92219347,S1_93797621,S1_93797656,307041717,92218526,93797638.5,1579112.5,0.005142990064767
1,CML247/B73 NIL-1015,65078953,65078958,173188368,173188386,S1_65078953,S1_65078958,S1_173188368,S1_173188386,307041717,65078955.5,173188377,108109421.5,0.352100107295843
1,CML228/B73 NIL-1117A,18000315,18000338,44517531,44658486,S1_18000315,S1_18000338,S1_44517531,S1_44658486,307041717,18000326.5,44588008.5,26587682,0.086593060577498
1,CML52/B73 NIL-1207,5120521,5120527,33618722,33618729,S1_5120521,S1_5120527,S1_33618722,S1_33618729,307041717,5120524,33618725.5,28498201.5,0.0928154056017085
1,Tzi8/B73 NIL-1107,203134625,203135437,284486972,284486996,S1_203134625,S1_203135437,S1_284486972,S1_284486996,307041717,203135031,284486984,81351953,0.264954071371351
1,CML247/B73 NIL-1015,300741799,300790014,307041717,307041717,S1_300741799,S1_300790014,END,END,307041717,300765906.5,307041717,6275810.5,0.0204396020232
1,Tx303/B73 NIL-1209C,203403987,204132804,284486972,284486996,S1_203403987,S1_204132804,S1_284486972,S1_284486996,307041717,203768395.5,284486984,80718588.5,0.262891275129236
1,NC350/B73 NIL-1090,299603802,299606259,307041717,307041717,S1_299603802,S1_299606259,END,END,307041717,299605030.5,307041717,7436686.5,0.0242204433086856
1,CML228/B73 NIL-1117B,239455896,239455920,253560606,253560620,S1_239455896,S1_239455920,S1_253560606,S1_253560620,307041717,239455908,253560613,14104705,0.0459374222428544
1,Tx303/B73 NIL-1166,52838569,52850474,57266412,57269124,S1_52838569,S1_52850474,S1_57266412,S1_57269124,307041717,52844521.5,57267768,4423246.5,0.0144060114801924
1,CML52/B73 NIL-1164,64729939,64849627,83663479,83663501,S1_64729939,S1_64849627,S1_83663479,S1_83663501,307041717,64789783,83663490,18873707,0.0614695201173592
1,NC358/B73 NIL-1114,204750568,204753671,258847921,258847927,S1_204750568,S1_204753671,S1_258847921,S1_258847927,307041717,204752119.5,258847924,54095804.5,0.176183891324448
1,NC350/B73 NIL-1169,56983236,57000360,57262043,57266260,S1_56983236,S1_57000360,S1_57262043,S1_57266260,307041717,56991798,57264151.5,272353.5,0.000887024416945923
1,CML247/B73 NIL-1059A,119835760,119836008,120683636,120880650,S1_119835760,S1_119836008,S1_120683636,S1_120880650,307041717,119835884,120782143,946259,0.00308185809161561
1,CML103/B73 NIL-1012,0,0,1072782,1072820,S1_53013,S1_53013,S1_1072782,S1_1072820,307041717,0,1072801,1072801,0.00349399101360549
1,CML228/B73 NIL-1063,0,0,4670914,4670917,S1_53013,S1_53013,S1_4670914,S1_4670917,307041717,0,4670915.5,4670915.5,0.0152126412841809
1,CML228/B73 NIL-1063,242405089,242703708,270559365,270564553,S1_242405089,S1_242703708,S1_270559365,S1_270564553,307041717,242554398.5,270561959,28007560.5,0.0912174435892697
1,Tzi8/B73 NIL-1277,164655027,164902572,189319175,189319205,S1_164655027,S1_164902572,S1_189319175,S1_189319205,307041717,164778799.5,189319190,24540390.5,0.0799252646831701
1,Oh43/B73 NIL-1246,2565756,2565764,5524361,5524388,S1_2565756,S1_2565764,S1_5524361,S1_5524388,307041717,2565760,5524374.5,2958614.5,0.00963587140180043
1,Ki11/B73 NIL-1161,258519563,258523531,285469334,285470582,S1_258519563,S1_258523531,S1_285469334,S1_285470582,307041717,258521547,285469958,26948411,0.0877679139606948
1,CML69/B73 NIL-1135A,287536511,287597860,291559097,291559099,S1_287536511,S1_287597860,S1_291559097,S1_291559099,307041717,287567185.5,291559098,3991912.5,0.0130012056309599
1,CML52/B73 NIL-1235,183885705,184115289,225783624,225783660,S1_183885705,S1_184115289,S1_225783624,S1_225783660,307041717,184000497,225783642,41783145,0.136082957743491
1,CML277/B73 NIL-1041B,19764796,19794969,19886281,19945325,S1_19764796,S1_19794969,S1_19886281,S1_19945325,307041717,19779882.5,19915803,135920.5,0.00044267763132656
1,CML277/B73 NIL-1041B,6079049,6079054,6154172,6237252,S1_6079049,S1_6079054,S1_6154172,S1_6237252,307041717,6079051.5,6195712,116660.5,0.000379949998781436
1,CML228/B73 NIL-1085,211228835,211228843,212240876,212545654,S1_211228835,S1_211228843,S1_212240876,S1_212545654,307041717,211228839,212393265,1164426,0.00379240323229433
1,Tzi8/B73 NIL-1282,15388212,15388257,52514195,52515076,S1_15388212,S1_15388257,S1_52514195,S1_52515076,307041717,15388234.5,52514635.5,37126401,0.120916471425282
1,Tx303/B73 NIL-1218,287536511,287597860,296471008,296471040,S1_287536511,S1_287597860,S1_296471008,S1_296471040,307041717,287567185.5,296471024,8903838.5,0.0289987907408686
1,Mo18W/B73 NIL-1108,215221591,215221599,215245509,215245523,S1_215221591,S1_215221599,S1_215245509,S1_215245523,307041717,215221595,215245516,23921,7.79079801719582e-05
1,NC350/B73 NIL-1183,48802267,48951153,63272581,63272583,S1_48802267,S1_48951153,S1_63272581,S1_63272583,307041717,48876710,63272582,14395872,0.0468857200925567
1,Ki11/B73 NIL-1039A,0,0,1072782,1072820,S1_53013,S1_53013,S1_1072782,S1_1072820,307041717,0,1072801,1072801,0.00349399101360549
1,Oh43/B73 NIL-1218,185886478,185920012,189866782,189866786,S1_185886478,S1_185920012,S1_189866782,S1_189866786,307041717,185903245,189866784,3963539,0.0129087963639807
